epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.22,1.8373,3.39421,1.88971,0.01162,0.66326,0.0856,0.02402,1.8776,3.35586,1.91681,0.0004287,0.0004287,0.0004287
2,18.5113,1.67951,2.69631,1.75,0.35512,0.11004,0.11864,0.06352,1.87836,2.90674,2.01865,0.000854431,0.000854431,0.000854431
3,25.4432,1.6205,2.50339,1.71201,0.14896,0.14522,0.07997,0.03058,1.70177,5.46658,2.06521,0.00126262,0.00126262,0.00126262
4,32.299,1.56861,2.3371,1.67249,0.06406,0.31628,0.07858,0.03054,1.94932,14.2781,2.64349,0.00134412,0.00134412,0.00134412
5,39.021,1.54261,2.25536,1.6701,0.10792,0.44542,0.12944,0.04422,1.82559,6.09331,2.39728,0.00131582,0.00131582,0.00131582
6,45.7453,1.54223,2.15181,1.64159,0.25072,0.42982,0.29914,0.14053,1.74007,2.33418,2.06024,0.00128753,0.00128753,0.00128753
7,52.5504,1.48946,2.10692,1.63025,0.41338,0.41485,0.35265,0.17999,1.8124,2.36337,2.06714,0.00125923,0.00125923,0.00125923
8,59.4667,1.45107,2.05996,1.59593,0.40264,0.48108,0.4263,0.23236,1.4178,1.75256,1.75705,0.00123094,0.00123094,0.00123094
9,66.5537,1.46073,1.96835,1.59999,0.39464,0.42398,0.40187,0.20557,1.38703,1.82595,1.67458,0.00120265,0.00120265,0.00120265
10,73.4066,1.44866,1.92325,1.55741,0.382,0.46637,0.45184,0.24901,1.3874,1.7688,1.59806,0.00117435,0.00117435,0.00117435
11,80.3956,1.40649,1.86038,1.56686,0.61368,0.47417,0.53673,0.28255,1.39173,1.90883,1.63464,0.00114606,0.00114606,0.00114606
12,87.3857,1.39083,1.75094,1.52214,0.39984,0.61696,0.45999,0.24017,1.51164,1.85171,1.8363,0.00111776,0.00111776,0.00111776
13,94.4415,1.33815,1.74215,1.48943,0.41403,0.48343,0.4127,0.22927,1.52036,2.05256,1.78326,0.00108947,0.00108947,0.00108947
14,101.8,1.33691,1.68495,1.50204,0.47196,0.63743,0.53711,0.27701,1.26244,1.56742,1.50707,0.00106118,0.00106118,0.00106118
15,109.024,1.3185,1.71383,1.4897,0.4546,0.61745,0.53462,0.30027,1.37806,1.63251,1.57315,0.00103288,0.00103288,0.00103288
16,115.993,1.29115,1.66021,1.47549,0.48952,0.62768,0.539,0.32373,1.20362,1.41096,1.45983,0.00100459,0.00100459,0.00100459
17,122.811,1.29396,1.59419,1.47014,0.63474,0.62476,0.62714,0.36727,1.30944,1.34872,1.5014,0.000976293,0.000976293,0.000976293
18,129.756,1.28642,1.54798,1.43645,0.60508,0.58993,0.5617,0.34437,1.32424,1.37688,1.57986,0.000947999,0.000947999,0.000947999
19,136.744,1.28598,1.56451,1.44897,0.50198,0.60818,0.5434,0.32692,1.23626,1.44733,1.48705,0.000919704,0.000919704,0.000919704
20,143.723,1.24806,1.49859,1.42117,0.66719,0.66082,0.65378,0.37897,1.22774,1.27869,1.37959,0.00089141,0.00089141,0.00089141
