epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1277,1.82464,3.60843,1.90372,0.00895,0.67008,0.15542,0.0549,1.64566,3.29093,1.83514,0.0004287,0.0004287,0.0004287
2,20.3704,1.72418,3.02003,1.79257,0.63431,0.04386,0.09718,0.02954,1.96371,3.11774,2.09373,0.000837171,0.000837171,0.000837171
3,28.2919,1.73366,2.66965,1.81172,0.19321,0.154,0.08011,0.0355,2.5697,3.2218,2.81773,0.00121056,0.00121056,0.00121056
4,35.9539,1.61447,2.46779,1.72324,0.13872,0.17885,0.07187,0.02065,2.40099,6.98069,2.90099,0.00125923,0.00125923,0.00125923
5,43.4077,1.56612,2.32155,1.69546,0.21381,0.42398,0.24541,0.09142,1.66084,3.3284,2.0491,0.00120265,0.00120265,0.00120265
6,51.1804,1.52944,2.16217,1.63799,0.24591,0.346,0.23528,0.12499,1.79975,2.40838,2.03911,0.00114606,0.00114606,0.00114606
7,58.9582,1.52876,2.17894,1.64733,0.23702,0.26706,0.25753,0.13487,2.32917,4.40538,2.61974,0.00108947,0.00108947,0.00108947
8,66.8181,1.48278,2.12894,1.61876,0.28207,0.5385,0.39612,0.20381,1.38981,3.65194,1.74718,0.00103288,0.00103288,0.00103288
9,74.4494,1.4614,2.01459,1.59768,0.31245,0.46589,0.33347,0.15265,1.60232,2.40029,1.89538,0.000976293,0.000976293,0.000976293
10,82.1801,1.42163,1.94765,1.55214,0.50314,0.56906,0.47736,0.23692,1.48929,1.73253,1.70959,0.000919704,0.000919704,0.000919704
11,90.1743,1.42129,1.8772,1.57731,0.34885,0.58711,0.43929,0.24275,1.44544,1.87023,1.63453,0.000863116,0.000863116,0.000863116
12,97.7682,1.38346,1.76631,1.50752,0.5304,0.5043,0.50987,0.2631,1.39987,1.71351,1.63005,0.000806528,0.000806528,0.000806528
13,105.25,1.31417,1.73738,1.47953,0.54881,0.58607,0.54261,0.30353,1.26404,1.53434,1.48107,0.000749939,0.000749939,0.000749939
14,112.846,1.31388,1.66379,1.47947,0.5397,0.66862,0.57112,0.3019,1.29509,1.55866,1.44846,0.000693351,0.000693351,0.000693351
15,120.652,1.28731,1.63907,1.44998,0.67817,0.67925,0.66586,0.34643,1.14403,1.36286,1.39849,0.000636762,0.000636762,0.000636762
16,154.807,1.30802,1.70266,1.52449,0.57507,0.63548,0.58685,0.35612,1.238,1.39346,1.44361,0.000580174,0.000580174,0.000580174
17,162.594,1.25191,1.62711,1.48033,0.66466,0.68957,0.67308,0.37294,1.09046,1.30423,1.28578,0.000523586,0.000523586,0.000523586
18,170.424,1.18753,1.57511,1.43394,0.60319,0.73343,0.70308,0.39986,1.05746,1.26134,1.29649,0.000466997,0.000466997,0.000466997
19,178.117,1.21732,1.4526,1.49233,0.5933,0.70614,0.63488,0.39816,1.12949,1.21567,1.36216,0.000410409,0.000410409,0.000410409
20,185.697,1.15184,1.42686,1.4374,0.69409,0.70565,0.74092,0.45878,1.03155,1.18309,1.27968,0.00035382,0.00035382,0.00035382
21,193.186,1.15048,1.35612,1.407,0.68836,0.71265,0.70001,0.44368,1.10199,1.15526,1.29256,0.000297232,0.000297232,0.000297232
22,200.778,1.10769,1.32622,1.37312,0.69609,0.75926,0.75363,0.49751,1.01873,1.06392,1.23354,0.000240644,0.000240644,0.000240644
23,208.847,1.05995,1.23056,1.34576,0.65665,0.75097,0.71855,0.50317,0.95862,1.05995,1.19019,0.000184055,0.000184055,0.000184055
24,216.373,1.00058,1.15869,1.28244,0.6857,0.78655,0.72756,0.49801,0.92688,1.04546,1.1744,0.000127467,0.000127467,0.000127467
25,223.92,1.01696,1.17895,1.30683,0.69247,0.75975,0.74494,0.51536,0.89868,1.04038,1.16114,7.08784e-05,7.08784e-05,7.08784e-05
